<3.3900001, 0.0, 0.0>, <3.0969193, 1.3788373, 0.0>, 
<3.3900001, 0.0, 0.0>, <3.3159204, -0.70482087, 1.229756>, 
<3.0969193, 1.3788373, 0.0>, <3.3900001, 0.0, 0.0>, 
<3.0969193, 1.3788373, 0.0>, <2.7425678, 1.9925921, 1.229756>, 
<1.0475675, 3.2240818, 0.0>, <-0.35435167, 3.3714292, 0.0>, 
<1.0475675, 3.2240818, 0.0>, <1.6949999, 2.9358263, 1.229756>, 
<-0.35435167, 3.3714292, 0.0>, <1.0475675, 3.2240818, 0.0>, 
<-0.35435167, 3.3714292, 0.0>, <-1.0475678, 3.2240815, 1.229756>, 
<-2.7425678, 1.9925919, 0.0>, <-3.3159206, 0.70482039, 0.0>, 
<-2.7425678, 1.9925919, 0.0>, <-2.268353, 2.5192609, 1.229756>, 
<-3.3159206, 0.70482039, 0.0>, <-2.7425678, 1.9925919, 0.0>, 
<-3.3159206, 0.70482039, 0.0>, <-3.3900001, -2.96363226e-07, 1.229756>, 
<-2.7425675, -1.9925923, 0.0>, <-1.6949997, -2.9358263, 0.0>, 
<-2.7425675, -1.9925923, 0.0>, <-3.0969191, -1.3788376, 1.229756>, 
<-1.6949997, -2.9358263, 0.0>, <-2.7425675, -1.9925923, 0.0>, 
<-1.6949997, -2.9358263, 0.0>, <-1.047568, -3.2240815, 1.229756>, 
<1.0475681, -3.2240815, 0.0>, <2.2683532, -2.5192606, 0.0>, 
<1.0475681, -3.2240815, 0.0>, <0.35435274, -3.3714292, 1.229756>, 
<2.2683532, -2.5192606, 0.0>, <1.0475681, -3.2240815, 0.0>, 
<2.2683532, -2.5192606, 0.0>, <2.7425685, -1.992591, 1.229756>, 
<2.7425678, 1.9925921, 1.229756>, <3.0969193, 1.3788373, 0.0>, 
<2.7425678, 1.9925921, 1.229756>, <1.6949999, 2.9358263, 1.229756>, 
<2.7425678, 1.9925921, 1.229756>, <3.0969188, 1.3788378, 2.459512>, 
<1.6949999, 2.9358263, 1.229756>, <1.0475675, 3.2240818, 0.0>, 
<1.6949999, 2.9358263, 1.229756>, <2.7425678, 1.9925921, 1.229756>, 
<1.6949999, 2.9358263, 1.229756>, <1.0475675, 3.2240818, 2.459512>, 
<-1.0475678, 3.2240815, 1.229756>, <-0.35435167, 3.3714292, 0.0>, 
<-1.0475678, 3.2240815, 1.229756>, <-2.268353, 2.5192609, 1.229756>, 
<-1.0475678, 3.2240815, 1.229756>, <-0.35435167, 3.3714292, 2.459512>, 
<-2.268353, 2.5192609, 1.229756>, <-2.7425678, 1.9925919, 0.0>, 
<-2.268353, 2.5192609, 1.229756>, <-1.0475678, 3.2240815, 1.229756>, 
<-2.268353, 2.5192609, 1.229756>, <-2.7425678, 1.9925919, 2.459512>, 
<-3.3900001, -2.96363226e-07, 1.229756>, <-3.3159206, 0.70482039, 0.0>, 
<-3.3900001, -2.96363226e-07, 1.229756>, <-3.0969191, -1.3788376, 1.229756>, 
<-3.3900001, -2.96363226e-07, 1.229756>, <-3.3159206, 0.70482039, 2.459512>, 
<-3.0969191, -1.3788376, 1.229756>, <-2.7425675, -1.9925923, 0.0>, 
<-3.0969191, -1.3788376, 1.229756>, <-3.3900001, -2.96363226e-07, 1.229756>, 
<-3.0969191, -1.3788376, 1.229756>, <-2.7425675, -1.9925923, 2.459512>, 
<-1.047568, -3.2240815, 1.229756>, <-1.6949997, -2.9358263, 0.0>, 
<-1.047568, -3.2240815, 1.229756>, <0.35435274, -3.3714292, 1.229756>, 
<-1.047568, -3.2240815, 1.229756>, <-1.6949997, -2.9358263, 2.459512>, 
<0.35435274, -3.3714292, 1.229756>, <1.0475681, -3.2240815, 0.0>, 
<0.35435274, -3.3714292, 1.229756>, <-1.047568, -3.2240815, 1.229756>, 
<0.35435274, -3.3714292, 1.229756>, <1.0475681, -3.2240815, 2.459512>, 
<2.7425685, -1.992591, 1.229756>, <2.2683532, -2.5192606, 0.0>, 
<2.7425685, -1.992591, 1.229756>, <3.3159204, -0.70482087, 1.229756>, 
<2.7425685, -1.992591, 1.229756>, <2.2683544, -2.5192597, 2.459512>, 
<3.3159204, -0.70482087, 1.229756>, <3.3900001, 0.0, 0.0>, 
<3.3159204, -0.70482087, 1.229756>, <2.7425685, -1.992591, 1.229756>, 
<3.3159204, -0.70482087, 1.229756>, <3.3900001, 2.20920447e-06, 2.459512>, 
<1.0475675, 3.2240818, 2.459512>, <1.6949999, 2.9358263, 1.229756>, 
<1.0475675, 3.2240818, 2.459512>, <-0.35435167, 3.3714292, 2.459512>, 
