<-0.515027,2.5,0>, 
<0.515027,2.5,0>, 
<-1.03005,2.18169,0.833333>, 
<-0.515027,1.86339,1.66667>, 
<-1.03005,2.18169,-0.833333>, 
<-0.515027,1.86339,-1.66667>, 
<-1.86339,1.66667,0.515027>, 
<-2.18169,0.833333,1.03005>, 
<-1.86339,1.66667,-0.515027>, 
<-2.18169,0.833333,-1.03005>, 
<0.515027,2.5,0>, 
<-0.515027,2.5,0>, 
<1.03005,2.18169,0.833333>, 
<0.515027,1.86339,1.66667>, 
<1.03005,2.18169,-0.833333>, 
<0.515027,1.86339,-1.66667>, 
<1.86339,1.66667,0.515027>, 
<2.18169,0.833333,1.03005>, 
<1.86339,1.66667,-0.515027>, 
<2.18169,0.833333,-1.03005>, 
<0.515027,-2.5,0>, 
<-0.515027,-2.5,0>, 
<1.03005,-2.18169,0.833333>, 
<0.515027,-1.86339,1.66667>, 
<1.03005,-2.18169,-0.833333>, 
<0.515027,-1.86339,-1.66667>, 
<1.86339,-1.66667,0.515027>, 
<2.18169,-0.833333,1.03005>, 
<1.86339,-1.66667,-0.515027>, 
<2.18169,-0.833333,-1.03005>, 
<-0.515027,-2.5,0>, 
<0.515027,-2.5,0>, 
<-1.03005,-2.18169,0.833333>, 
<-0.515027,-1.86339,1.66667>, 
<-1.03005,-2.18169,-0.833333>, 
<-0.515027,-1.86339,-1.66667>, 
<-1.86339,-1.66667,0.515027>, 
<-2.18169,-0.833333,1.03005>, 
<-1.86339,-1.66667,-0.515027>, 
<-2.18169,-0.833333,-1.03005>, 
<-0.515027,1.86339,1.66667>, 
<-1.03005,2.18169,0.833333>, 
<0.515027,1.86339,1.66667>, 
<1.03005,2.18169,0.833333>, 
<0,0.515027,2.5>, 
<0,-0.515027,2.5>, 
<0.833333,1.03005,2.18169>, 
<1.66667,0.515027,1.86339>, 
<-0.833333,1.03005,2.18169>, 
<-1.66667,0.515027,1.86339>, 
<0.515027,-1.86339,1.66667>, 
<1.03005,-2.18169,0.833333>, 
<-0.515027,-1.86339,1.66667>, 
<-1.03005,-2.18169,0.833333>, 
<0,-0.515027,2.5>, 
<0,0.515027,2.5>, 
<0.833333,-1.03005,2.18169>, 
<1.66667,-0.515027,1.86339>, 
<-0.833333,-1.03005,2.18169>, 
<-1.66667,-0.515027,1.86339>, 
<-0.515027,1.86339,-1.66667>, 
<-1.03005,2.18169,-0.833333>, 
<0.515027,1.86339,-1.66667>, 
<1.03005,2.18169,-0.833333>, 
<0,0.515027,-2.5>, 
<0,-0.515027,-2.5>, 
<0.833333,1.03005,-2.18169>, 
<1.66667,0.515027,-1.86339>, 
<-0.833333,1.03005,-2.18169>, 
<-1.66667,0.515027,-1.86339>, 
<0.515027,-1.86339,-1.66667>, 
<1.03005,-2.18169,-0.833333>, 
<-0.515027,-1.86339,-1.66667>, 
<-1.03005,-2.18169,-0.833333>, 
<0,-0.515027,-2.5>, 
<0,0.515027,-2.5>, 
<0.833333,-1.03005,-2.18169>, 
<1.66667,-0.515027,-1.86339>, 
<-0.833333,-1.03005,-2.18169>, 
<-1.66667,-0.515027,-1.86339>, 
<2.18169,0.833333,1.03005>, 
<1.86339,1.66667,0.515027>, 
<2.18169,-0.833333,1.03005>, 
<1.86339,-1.66667,0.515027>, 
<1.66667,0.515027,1.86339>, 
<0.833333,1.03005,2.18169>, 
<1.66667,-0.515027,1.86339>, 
<0.833333,-1.03005,2.18169>, 
<2.5,0,0.515027>, 
<2.5,0,-0.515027>, 
<2.18169,0.833333,-1.03005>, 
<1.86339,1.66667,-0.515027>, 
<2.18169,-0.833333,-1.03005>, 
<1.86339,-1.66667,-0.515027>, 
<1.66667,0.515027,-1.86339>, 
<0.833333,1.03005,-2.18169>, 
<1.66667,-0.515027,-1.86339>, 
<0.833333,-1.03005,-2.18169>, 
<2.5,0,-0.515027>, 
<2.5,0,0.515027>, 
<-2.18169,0.833333,1.03005>, 
<-1.86339,1.66667,0.515027>, 
<-2.18169,-0.833333,1.03005>, 
<-1.86339,-1.66667,0.515027>, 
<-1.66667,0.515027,1.86339>, 
<-0.833333,1.03005,2.18169>, 
<-1.66667,-0.515027,1.86339>, 
<-0.833333,-1.03005,2.18169>, 
<-2.5,0,0.515027>, 
<-2.5,0,-0.515027>, 
<-2.18169,0.833333,-1.03005>, 
<-1.86339,1.66667,-0.515027>, 
<-2.18169,-0.833333,-1.03005>, 
<-1.86339,-1.66667,-0.515027>, 
<-1.66667,0.515027,-1.86339>, 
<-0.833333,1.03005,-2.18169>, 
<-1.66667,-0.515027,-1.86339>, 
<-0.833333,-1.03005,-2.18169>, 
<-2.5,0,-0.515027>, 
<-2.5,0,0.515027>, 
