<3.944204, -2.91954, 2.289953>, <2.105388, -1.737815, 4.004244>, <1.258501, -3.921909, 2.366102>, 
<2.174367, 1.098109, 4.301762>, <1.264021, 3.58746, 3.446324>, <-0.644458, 1.936459, 4.777076>, 
<0.603842, 2.705103, -1.239956>, <2.36545, 0.342124, -1.37679>, <-0.072694, 0.174114, -2.899243>, 
<2.57424, 4.587399, 1.238815>, <-0.174896, 5.240813, 1.416835>, <1.175073, 5.465327, -0.99069>, 
<-0.834996, -2.193453, 1.102009>, <-1.504802, -4.684935, 2.297573>, <-0.699198, -2.648124, 4.009796>, 
<-0.101728, 0.264654, -0.062748>, <1.923548, 1.714845, 1.19371>, <2.36545, 0.342124, -1.37679>, 
<-0.072694, 0.174114, -2.899243>, <2.587586, -0.456334, -4.261486>, <0.910888, 1.94174, -4.870985>, 
<3.393551, 2.074872, -3.5179>, <2.587586, -0.456334, -4.261486>, <0.910888, 1.94174, -4.870985>, 
<-4.790025, 2.162142, 1.227034>, <-2.972268, 4.327454, 1.418192>, <-4.211941, 3.728161, -0.987922>, 
<-2.109398, 1.857682, -1.188751>, <-4.211941, 3.728161, -0.987922>, <-4.787884, 0.833783, -1.186041>, 
<0.603842, 2.705103, -1.239956>, <1.607681, 4.196314, -3.421731>, <-1.113123, 3.415447, -3.504065>, 
<2.36545, 0.342124, -1.37679>, <-0.072694, 0.174114, -2.899243>, <2.587586, -0.456334, -4.261486>, 
<1.607681, 4.196314, -3.421731>, <3.393551, 2.074872, -3.5179>, <0.910888, 1.94174, -4.870985>, 
<1.264021, 3.58746, 3.446324>, <2.57424, 4.587399, 1.238815>, <-0.174896, 5.240813, 1.416835>, 
<0.603842, 2.705103, -1.239956>, <1.607681, 4.196314, -3.421731>, <3.358871, 3.493161, -1.15879>, 
<1.923548, 1.714845, 1.19371>, <-0.002116, -0.008329, 2.776546>, <2.174367, 1.098109, 4.301762>, 
<1.923548, 1.714845, 1.19371>, <3.988582, 2.663375, 2.674257>, <1.264021, 3.58746, 3.446324>, 
<-0.822981, 2.493092, 1.544342>, <-1.427465, 4.340496, 3.722623>, <-0.174896, 5.240813, 1.416835>, 
<0.603842, 2.705103, -1.239956>, <1.175073, 5.465327, -0.99069>, <-1.553236, 4.723242, -1.023083>, 
<0.186537, -0.601904, -5.705202>, <-1.841227, -1.887095, -4.251983>, <-1.890631, 1.040048, -4.883288>, 
<1.607681, 4.196314, -3.421731>, <-1.113123, 3.415447, -3.504065>, <0.910888, 1.94174, -4.870985>, 
<-3.956204, -2.84342, -2.38449>, <-4.537546, -1.613863, 0.182698>, <-2.822896, -3.888623, -0.052922>, 
<-0.834996, -2.193453, 1.102009>, <-1.504802, -4.684935, 2.297573>, <-3.264667, -2.517188, 2.580652>, 
<-2.972268, 4.327454, 1.418192>, <-1.553236, 4.723242, -1.023083>, <-4.211941, 3.728161, -0.987922>, 
<4.856794, -0.011545, -2.397915>, <3.318329, -2.46613, -2.473168>, <4.546674, -1.51414, -0.06314>, 
<0.678878, -2.158727, -1.345808>, <-1.281273, -3.945346, -2.466681>, <-0.019465, -4.769506, -0.0481>, 
<0.678878, -2.158727, -1.345808>, <-2.16194, -1.07822, -1.375344>, <-1.281273, -3.945346, -2.466681>, 
<-1.427465, 4.340496, 3.722623>, <-0.644458, 1.936459, 4.777076>, <-3.162152, 2.150533, 3.453106>, 
<-0.002116, -0.008329, 2.776546>, <-2.579306, 0.230706, 1.22488>, <-2.419129, -0.395789, 4.311475>, 
<-0.174896, 5.240813, 1.416835>, <1.175073, 5.465327, -0.99069>, <-1.553236, 4.723242, -1.023083>, 
<1.508338, -4.731055, -2.359211>, <-1.281273, -3.945346, -2.466681>, <-0.019465, -4.769506, -0.0481>, 
<-2.16194, -1.07822, -1.375344>, <-3.990987, -0.314314, -3.556457>, <-1.841227, -1.887095, -4.251983>, 
<-0.834996, -2.193453, 1.102009>, <-2.579306, 0.230706, 1.22488>, <-3.264667, -2.517188, 2.580652>, 
<-0.174896, 5.240813, 1.416835>, <-2.972268, 4.327454, 1.418192>, <-1.553236, 4.723242, -1.023083>, 
<-0.002116, -0.008329, 2.776546>, <0.174081, -0.550836, 5.601313>, <-2.419129, -0.395789, 4.311475>, 
<-0.101728, 0.264654, -0.062748>, <1.944213, -1.291691, 1.095185>, <2.36545, 0.342124, -1.37679>, 
<-0.822981, 2.493092, 1.544342>, <-1.427465, 4.340496, 3.722623>, <1.264021, 3.58746, 3.446324>, 
<-0.072694, 0.174114, -2.899243>, <-1.890631, 1.040048, -4.883288>, <0.910888, 1.94174, -4.870985>, 
<1.923548, 1.714845, 1.19371>, <3.988582, 2.663375, 2.674257>, <2.57424, 4.587399, 1.238815>, 
<0.186537, -0.601904, -5.705202>, <-1.841227, -1.887095, -4.251983>, <0.878072, -2.738698, -4.138267>, 
<-4.820129, -0.198631, 2.699407>, <-3.264667, -2.517188, 2.580652>, <-4.537546, -1.613863, 0.182698>, 
<1.607681, 4.196314, -3.421731>, <3.358871, 3.493161, -1.15879>, <1.175073, 5.465327, -0.99069>, 
<-0.822981, 2.493092, 1.544342>, <-1.427465, 4.340496, 3.722623>, <-3.162152, 2.150533, 3.453106>, 
<1.923548, 1.714845, 1.19371>, <3.988582, 2.663375, 2.674257>, <4.59598, 1.337446, 0.161359>, 
<1.944213, -1.291691, 1.095185>, <4.100128, -0.127686, 2.565798>, <2.105388, -1.737815, 4.004244>, 
<-0.834996, -2.193453, 1.102009>, <-1.504802, -4.684935, 2.297573>, <1.258501, -3.921909, 2.366102>, 
<0.603842, 2.705103, -1.239956>, <-2.109398, 1.857682, -1.188751>, <-1.113123, 3.415447, -3.504065>, 
<0.678878, -2.158727, -1.345808>, <1.508338, -4.731055, -2.359211>, <0.878072, -2.738698, -4.138267>, 
<-2.579306, 0.230706, 1.22488>, <-4.790025, 2.162142, 1.227034>, <-3.162152, 2.150533, 3.453106>, 
<0.878072, -2.738698, -4.138267>, <2.587586, -0.456334, -4.261486>, <3.318329, -2.46613, -2.473168>, 
<2.36545, 0.342124, -1.37679>, <4.856794, -0.011545, -2.397915>, <3.393551, 2.074872, -3.5179>, 
<1.944213, -1.291691, 1.095185>, <2.36545, 0.342124, -1.37679>, <0.678878, -2.158727, -1.345808>, 
<1.923548, 1.714845, 1.19371>, <-0.002116, -0.008329, 2.776546>, <-0.822981, 2.493092, 1.544342>, 
<3.944204, -2.91954, 2.289953>, <4.100128, -0.127686, 2.565798>, <2.105388, -1.737815, 4.004244>, 
<4.100128, -0.127686, 2.565798>, <2.174367, 1.098109, 4.301762>, <2.105388, -1.737815, 4.004244>, 
<-0.072694, 0.174114, -2.899243>, <0.186537, -0.601904, -5.705202>, <-1.890631, 1.040048, -4.883288>, 
<-1.504802, -4.684935, 2.297573>, <-3.264667, -2.517188, 2.580652>, <-0.699198, -2.648124, 4.009796>, 
<3.944204, -2.91954, 2.289953>, <2.779542, -3.866388, -0.051572>, <4.546674, -1.51414, -0.06314>, 
<1.607681, 4.196314, -3.421731>, <3.393551, 2.074872, -3.5179>, <3.358871, 3.493161, -1.15879>, 
<-0.101728, 0.264654, -0.062748>, <-0.834996, -2.193453, 1.102009>, <-2.16194, -1.07822, -1.375344>, 
<-1.427465, 4.340496, 3.722623>, <1.264021, 3.58746, 3.446324>, <-0.644458, 1.936459, 4.777076>, 
<1.508338, -4.731055, -2.359211>, <3.318329, -2.46613, -2.473168>, <2.779542, -3.866388, -0.051572>, 
<-3.264667, -2.517188, 2.580652>, <-4.537546, -1.613863, 0.182698>, <-2.822896, -3.888623, -0.052922>, 
<0.603842, 2.705103, -1.239956>, <3.358871, 3.493161, -1.15879>, <1.175073, 5.465327, -0.99069>, 
<-2.579306, 0.230706, 1.22488>, <-4.820129, -0.198631, 2.699407>, <-3.264667, -2.517188, 2.580652>, 
<-0.101728, 0.264654, -0.062748>, <-0.822981, 2.493092, 1.544342>, <-2.579306, 0.230706, 1.22488>, 
<-0.101728, 0.264654, -0.062748>, <2.36545, 0.342124, -1.37679>, <-0.072694, 0.174114, -2.899243>, 
<-2.579306, 0.230706, 1.22488>, <-4.820129, -0.198631, 2.699407>, <-3.162152, 2.150533, 3.453106>, 
<-0.002116, -0.008329, 2.776546>, <-0.644458, 1.936459, 4.777076>, <-2.419129, -0.395789, 4.311475>, 
<-0.072694, 0.174114, -2.899243>, <-2.16194, -1.07822, -1.375344>, <-1.841227, -1.887095, -4.251983>, 
<-0.101728, 0.264654, -0.062748>, <1.923548, 1.714845, 1.19371>, <-0.002116, -0.008329, 2.776546>, 
<-0.834996, -2.193453, 1.102009>, <1.258501, -3.921909, 2.366102>, <-0.019465, -4.769506, -0.0481>, 
<0.186537, -0.601904, -5.705202>, <2.587586, -0.456334, -4.261486>, <0.910888, 1.94174, -4.870985>, 
<1.944213, -1.291691, 1.095185>, <3.944204, -2.91954, 2.289953>, <1.258501, -3.921909, 2.366102>, 
<0.603842, 2.705103, -1.239956>, <-2.109398, 1.857682, -1.188751>, <-1.553236, 4.723242, -1.023083>, 
<-2.16194, -1.07822, -1.375344>, <-3.956204, -2.84342, -2.38449>, <-3.990987, -0.314314, -3.556457>, 
<0.174081, -0.550836, 5.601313>, <2.105388, -1.737815, 4.004244>, <-0.699198, -2.648124, 4.009796>, 
<-2.109398, 1.857682, -1.188751>, <-1.553236, 4.723242, -1.023083>, <-4.211941, 3.728161, -0.987922>, 
<1.923548, 1.714845, 1.19371>, <-0.822981, 2.493092, 1.544342>, <0.603842, 2.705103, -1.239956>, 
<4.856794, -0.011545, -2.397915>, <2.587586, -0.456334, -4.261486>, <3.318329, -2.46613, -2.473168>, 
<0.678878, -2.158727, -1.345808>, <0.878072, -2.738698, -4.138267>, <3.318329, -2.46613, -2.473168>, 
<2.36545, 0.342124, -1.37679>, <0.678878, -2.158727, -1.345808>, <3.318329, -2.46613, -2.473168>, 
<-0.101728, 0.264654, -0.062748>, <1.944213, -1.291691, 1.095185>, <-0.834996, -2.193453, 1.102009>, 
<0.678878, -2.158727, -1.345808>, <1.508338, -4.731055, -2.359211>, <2.779542, -3.866388, -0.051572>, 
<-1.427465, 4.340496, 3.722623>, <1.264021, 3.58746, 3.446324>, <-0.174896, 5.240813, 1.416835>, 
<0.678878, -2.158727, -1.345808>, <-0.834996, -2.193453, 1.102009>, <-2.16194, -1.07822, -1.375344>, 
<3.988582, 2.663375, 2.674257>, <2.174367, 1.098109, 4.301762>, <1.264021, 3.58746, 3.446324>, 
<-0.822981, 2.493092, 1.544342>, <1.264021, 3.58746, 3.446324>, <-0.174896, 5.240813, 1.416835>, 
