NI;CI;EDAD;SEXO;PALABRAS
1;1;12;2; semáforo, carro, tráfico, ruido, escuela, museo, tienda, anuncio, luz, cine, espectacular, casa, edificio, estadio, teatro, persona, población, urbana, rural, educación, electricidad, agua, hospital, vivienda, trabajo, centro, paseo, economía, salud, gente, taxi.
1;2;12;2;medicina, ingeniera, diseño, químico, farmacobiólogo, ginecólogo, neurocirujano, cirujano, pediatra, maestro, bombero, militar, biólogo, matemático, físico, taxista, lenguaje, escritor, licenciatura, historiador, ecología, editor, actor, director, cineasta, traumatólogo.
1;4;12;2;maestra, bailarina, diseñadora-gráfica, artística, médica, neurocirujana, pediatra, traumatóloga, secretaria, oficinista, enfermera, matemática, física, escritora, cirujana, dermatóloga, mesera, cajera, bióloga, ingeniera, traumatóloga, escritora, filósofa, actriz, directora, cuidadora, editora, ecologista, matemática, bombera.
1;3;12;2;grande, puerta, techo, alta, piso, cuarto, baño, patio, dos-plantas, jardín, ventana, lavabo, sola, amplia, espaciosa, almacenamiento, limpia, abierta, recámara, televisión, cochera, lavadora, colores, neutra, moderna, chimenea, oficina, iluminada, estacionamiento.
1;5;12;2;leer, escribir, cantar, bailar, estudiar, convivir, jugar, hablar, escuchar, música, ver-serie, amigas, trabajo, familia, cine, compras, tienda, ropa, cuidado, ejercicio, nadar, pasear, dibujar, pintar, ballet, deportes, basquetbol, voleibol, viajar, conocer, hablar, dedicada, ordenar, limpiar, diseñar.
1;6;12;2;alegre, amable, platicador, servicial, atento, agradable, amigo, atleta, ordenado, estudioso, aplicado, cooperador, amigable, entusiasta, inteligente, leal, bueno, cariñoso, sociable, hablador, sensible, seco, destacado, comprometido, comprensivo, atento, compartido, amigo.
2;1;12;2;avenida, bulevar, farola, auto, edificio, paloma, persona, centro, planta, ventana, casa, mansión, perro, veterinaria, restaurante, hospital, estacionamiento, salón, escuela, universidad, tienda, departamento, supermercado, evento, boda, parque, puente, camión, zoológico, mascota.
2;2;12;2;bombero, policía, químico, matemático, modelo, físico, ingeniera, maestra, arquitecta, cirujano, doctor, anestesióloga, enfermera, escritor, periodista, periodista, conductor, abogado, juez, teniente, soldado, piloto, astronauta, investigador, cajero, contador, chofer, psicólogo, terapeuta, nutriólogo, fisicoculturista, cantante, coach-motivacional, editor, presidente.
2;4;12;2; nutrióloga, fisioterapeuta, arquitecta, coach-motivacional, modelo, maestra, emprendedora, astrónoma.
2;3;12;2;grande, espaciosa, mueble, balcón, casa-darío,  gigantesca, alberca, cochera, sala-juego, escalera, terraza, planta, asador, cine, resbaladero, habitación, tragaluz, domo, sala-ejercicio, espejo, refrigerador-grande, palapa, silla-cómoda, luces-serie, árbol, casa-árbol, dos-pisos, blanca. chimenea, tapete, madera, puerta-grande.
